support_tick_id,support_ticket_text
TF-2024-001,"I cannot log into my TaskFlow account. I've tried resetting my password three times but the reset email never arrives. I have a team standup in 30 minutes and all my tasks are in TaskFlow. This is extremely urgent."
TF-2024-002,"Hi, I was charged twice for my monthly subscription this month. My credit card shows two payments of $49 on the 3rd and 4th of this month. Please refund the duplicate charge as soon as possible."
TF-2024-003,"It would be really helpful if TaskFlow had a Gantt chart view for project timelines. We manage complex projects and currently have to use a separate tool just for timeline visualization. Would love to see this added."
TF-2024-004,"The mobile app crashes every time I try to upload an attachment larger than 5MB. I'm on iOS 17.2 and TaskFlow version 4.1.2. This has been happening for the past week and is blocking my team's workflow."
TF-2024-005,"I'm new to TaskFlow and struggling to understand how to set up recurring tasks. The help documentation is unclear and I've spent 2 hours trying to figure this out. Can someone walk me through it?"
TF-2024-006,"Our Slack integration stopped working yesterday. Notifications from TaskFlow are no longer appearing in our Slack channels. We rely heavily on this integration for team communication. Please fix urgently."
TF-2024-007,"Can you add a dark mode option to TaskFlow? Many of our team members work late and the bright white interface causes eye strain. This has been requested by multiple users in our organization."
TF-2024-008,"I accidentally deleted an entire project with 6 months of work. Is there any way to recover it? I did not archive it first. Please help, this is a disaster for our team."
TF-2024-009,"We want to upgrade from the Professional plan to the Enterprise plan. Can you tell me what additional features we get and whether we can get a custom contract for our 200-person organization?"
TF-2024-010,"The task due date filter is not working correctly. When I filter for tasks due this week, it shows tasks from last month as well. This makes it impossible to manage my workload effectively."
TF-2024-011,"I have been trying to cancel my subscription for two weeks. Every time I click the cancel button in settings, I get an error message saying 'Action failed, please try again'. I do not want to be charged next month."
TF-2024-012,"TaskFlow's API documentation is missing examples for the webhooks endpoint. Our engineering team is trying to build a custom integration and we are stuck without proper documentation."
TF-2024-013,"The bulk task assignment feature would save our project managers so much time. Currently we have to assign tasks one by one. Please consider adding the ability to select multiple tasks and assign them all at once."
TF-2024-014,"I cannot export my project data to Excel. The export button does nothing when I click it. I need this data urgently for a board presentation tomorrow morning."
TF-2024-015,"Our entire team has been logged out simultaneously and cannot log back in. We are getting an error that says 'Service temporarily unavailable'. Is there an outage? We have a critical deadline today."
TF-2024-016,"I was overcharged for additional seats last month. We removed 5 users from our account on the 1st of the month but were still billed for them. Please audit our account and issue a credit."
TF-2024-017,"The time tracking feature is inaccurate. It is recording more hours than actually worked. For example, a task I worked on for 1 hour shows 3.5 hours tracked. This is affecting our client billing reports."
TF-2024-018,"Would it be possible to add custom fields to tasks? We need to track additional metadata like client names and budget codes that are specific to our business. This would make TaskFlow much more useful for us."
TF-2024-019,"The search function does not return results for tasks inside archived projects. I need to find old tasks for a client audit and this is making it very difficult. Please fix or provide a workaround."
TF-2024-020,"I am getting a 'Permission denied' error when trying to access a project my manager has shared with me. She has confirmed she set my role to Editor. This has been going on for three days."
TF-2024-021,"We would love to have a portfolio view that shows all projects across our organization in one dashboard with overall completion percentages. This is critical for our executive reporting needs."
TF-2024-022,"TaskFlow is extremely slow today. Pages are taking 30 to 40 seconds to load. Our whole team is affected and we are losing significant productivity. Please investigate immediately."
TF-2024-023,"I accidentally added the wrong team members to a confidential project. I cannot figure out how to remove them. The project contains sensitive financial information. This needs to be resolved right now."
TF-2024-024,"Can TaskFlow support Single Sign-On with Okta? Our IT department requires all SaaS tools to use our company SSO. Without this we cannot roll out TaskFlow to our full organization of 500 people."
TF-2024-025,"The email notifications stopped working for my account three days ago. I'm missing task updates and deadline reminders. I have checked my spam folder and confirmed my email is correct in settings."
TF-2024-026,"I would like to request a refund for the annual subscription I purchased last week. After testing the product with my team, we have decided it does not meet our needs. The website says 14-day money back guarantee."
TF-2024-027,"The recurring task feature creates duplicate tasks randomly. Some tasks appear two or three times in my task list when they should only appear once. This is cluttering my workspace significantly."
TF-2024-028,"Please add a native video conferencing integration with Zoom or Google Meet. Currently we have to manually paste meeting links into task comments which is inefficient."
TF-2024-029,"My account shows I have used 95% of my file storage but I have barely uploaded anything. I think there is a bug calculating storage usage. I do not want to be forced to upgrade unnecessarily."
TF-2024-030,"The task dependency feature is not working. When I mark a predecessor task as complete, the dependent task is not automatically unlocking. My team's workflow is completely blocked because of this."
TF-2024-031,"I have been a TaskFlow customer for three years. Today I noticed all my custom project templates have disappeared. I spent weeks building these templates and they are critical to our operations. Please recover them."
TF-2024-032,"Can you add an AI assistant that can automatically suggest task assignments based on team member workload and skills? This would significantly improve how we allocate work across our team."
TF-2024-033,"We need HIPAA compliance documentation for TaskFlow. Our organization works with healthcare data and we cannot use any software without verified compliance certifications. Please send the relevant documentation."
TF-2024-034,"The comment tagging feature is broken. When I tag a team member using the @ symbol, they do not receive a notification. This is causing important feedback to go unnoticed on tasks."
TF-2024-035,"I cannot figure out how to set up project permissions so that clients can view tasks but not edit them. Is there a guest or view-only role available? I have looked through the settings but cannot find it."
TF-2024-036,"TaskFlow sent me a renewal invoice for the wrong amount. Our contract specifies $299 per month but the invoice shows $399. Please correct this and send a revised invoice before our payment date."
TF-2024-037,"The desktop app for Windows is crashing on startup after the latest update. I have tried reinstalling three times. My entire team on Windows is affected. Mac users on our team are fine."
TF-2024-038,"We would find it very useful if TaskFlow could integrate with Microsoft Teams. Most of our communication happens there and having task notifications in Teams would greatly improve our team's adoption of TaskFlow."
TF-2024-039,"I notice TaskFlow does not have two-factor authentication. Given that we store sensitive client project data, this is a security concern for our organization. Please let us know if this is on your roadmap."
TF-2024-040,"The CSV import function is not mapping columns correctly. I am trying to migrate 500 tasks from our old system and every import attempt scrambles the data. I have followed the template exactly."
TF-2024-041,"I have been waiting 5 days for a response to my support ticket TF-2024-015. Our team is still experiencing issues and the lack of response is unacceptable for a paid enterprise customer."
TF-2024-042,"Can TaskFlow add budget tracking to projects? We need to track planned versus actual spend for each project. Currently we manage this in a separate spreadsheet which creates a lot of manual work."
TF-2024-043,"My dashboard is showing tasks assigned to a colleague who left our organization six months ago. I have deactivated their account but their tasks still appear in my view. How do I reassign these cleanly?"
TF-2024-044,"The mobile app is not syncing with the web app. Tasks I complete on my phone still show as incomplete on my laptop. I have tried logging out and back in on both devices but the issue persists."
TF-2024-045,"We are a nonprofit organization. Do you offer discounted pricing for nonprofits? We are currently evaluating TaskFlow versus competitors and pricing is an important factor in our decision."
TF-2024-046,"The board view is not loading for our largest project which has around 800 tasks. It just shows a loading spinner indefinitely. All our other smaller projects load fine. We use the board view daily."
TF-2024-047,"I received an email saying my account will be suspended due to non-payment but I set up autopay. My bank confirms the payment went through successfully. Please check your payment system and do not suspend my account."
TF-2024-048,"Please add keyboard shortcuts to TaskFlow. Power users on our team find constant mouse navigation very slow. Even basic shortcuts like creating a new task or marking complete would make a big difference."
TF-2024-049,"The workload view is showing incorrect capacity for team members. It shows some people at 200% capacity when they only have two tasks assigned. This is making resource planning impossible for our project managers."
TF-2024-050,"I cannot delete old tags from our workspace. The tag management settings page gives a 500 server error every time I try to delete a tag. Our tag list is cluttered with hundreds of outdated tags."
