,support_tick_id,support_ticket_text,model_response_1,model_response_2,model_response_3,model_response_4,model_response_1_parsed,category,model_response_2_parsed,priority,ETA,model_response_3_parsed,sentiment,model_response_4_parsed,tags,summary,model_response_5
0,TF-2024-001,I cannot log into my TaskFlow account. I've tried resetting my password three times but the reset email never arrives. I have a team standup in 30 minutes and all my tasks are in TaskFlow. This is extremely urgent.,"{ ""category"" : ""Account & Access"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Login & Authentication"", ""Notifications"", ""Escalation""], ""Summary"" : ""Customer cannot log in.""}",{'category': 'Account & Access'},Account & Access,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Login & Authentication', 'Notifications', 'Escalation'], 'Summary': 'Customer cannot log in.'}","['Login & Authentication', 'Notifications', 'Escalation']",Customer cannot log in.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Account & Access and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
1,TF-2024-002,"Hi, I was charged twice for my monthly subscription this month. My credit card shows two payments of $49 on the 3rd and 4th of this month. Please refund the duplicate charge as soon as possible.","{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Billing & Payment"", ""Refund Request""], ""Summary"" : ""Customer was charged twice.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Negative'},Negative,"{'Tags': ['Billing & Payment', 'Refund Request'], 'Summary': 'Customer was charged twice.'}","['Billing & Payment', 'Refund Request']",Customer was charged twice.,"{""first_response"":""Sorry for the inconvenience. We understand this issue is related to Billing & Subscriptions and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
2,TF-2024-003,It would be really helpful if TaskFlow had a Gantt chart view for project timelines. We manage complex projects and currently have to use a separate tool just for timeline visualization. Would love to see this added.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Task Management"", ""Feature Request"", ""Desktop App""], ""Summary"" : ""Customer requests Gantt chart view.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Task Management', 'Feature Request', 'Desktop App'], 'Summary': 'Customer requests Gantt chart view.'}","['Task Management', 'Feature Request', 'Desktop App']",Customer requests Gantt chart view.,"{""first_response"": ""Thank you for sharing your feedback. We understand this is a Feature Requests & Feedback issue. A Product Specialist will review your request within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
3,TF-2024-004,The mobile app crashes every time I try to upload an attachment larger than 5MB. I'm on iOS 17.2 and TaskFlow version 4.1.2. This has been happening for the past week and is blocking my team's workflow.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Mobile App"", ""Task Management"", ""Performance & Speed""], ""Summary"" : ""Customer experiences app crashes.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Mobile App', 'Task Management', 'Performance & Speed'], 'Summary': 'Customer experiences app crashes.'}","['Mobile App', 'Task Management', 'Performance & Speed']",Customer experiences app crashes.,"{""first_response"": ""Sorry for the frustration. We understand this is a Technical Support & Bugs issue. We're treating this as urgent and are working to resolve it. Expect an update within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
4,TF-2024-005,I'm new to TaskFlow and struggling to understand how to set up recurring tasks. The help documentation is unclear and I've spent 2 hours trying to figure this out. Can someone walk me through it?,"{ ""category"" : ""How-to & Guidance"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Task Management"", ""Onboarding"", ""Account Management""], ""Summary"" : ""User struggles with setup."" }",{'category': 'How-to & Guidance'},How-to & Guidance,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Task Management', 'Onboarding', 'Account Management'], 'Summary': 'User struggles with setup.'}","['Task Management', 'Onboarding', 'Account Management']",User struggles with setup.,"{""first_response"": ""Sorry for the frustration caused. We understand this issue is related to How-to & Guidance. We're working on it and expect to share guidance within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
5,TF-2024-006,Our Slack integration stopped working yesterday. Notifications from TaskFlow are no longer appearing in our Slack channels. We rely heavily on this integration for team communication. Please fix urgently.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Integration & Sync"", ""Notifications"", ""Escalation""], ""Summary"" : ""Customer's Slack integration is not working.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Integration & Sync', 'Notifications', 'Escalation'], 'Summary': ""Customer's Slack integration is not working.""}","['Integration & Sync', 'Notifications', 'Escalation']",Customer's Slack integration is not working.,"{""first_response"":""Sorry for the disruption caused. We understand this issue is related to Technical Support & Bugs and we're treating this as urgent. We're working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
6,TF-2024-007,Can you add a dark mode option to TaskFlow? Many of our team members work late and the bright white interface causes eye strain. This has been requested by multiple users in our organization.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Feature Request"", ""Desktop App"", ""Mobile App""], ""Summary"" : ""Customer requests dark mode.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Feature Request', 'Desktop App', 'Mobile App'], 'Summary': 'Customer requests dark mode.'}","['Feature Request', 'Desktop App', 'Mobile App']",Customer requests dark mode.,"{""first_response"":""Thank you for sharing your feedback. We understand this is a Feature Requests & Feedback issue. A Product Specialist will review your request for a dark mode option within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
7,TF-2024-008,"I accidentally deleted an entire project with 6 months of work. Is there any way to recover it? I did not archive it first. Please help, this is a disaster for our team.","{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Data Loss & Recovery"", ""Task Management"", ""Account Management""], ""Summary"" : ""Customer deleted project accidentally.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Data Loss & Recovery', 'Task Management', 'Account Management'], 'Summary': 'Customer deleted project accidentally.'}","['Data Loss & Recovery', 'Task Management', 'Account Management']",Customer deleted project accidentally.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
8,TF-2024-009,We want to upgrade from the Professional plan to the Enterprise plan. Can you tell me what additional features we get and whether we can get a custom contract for our 200-person organization?,"{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Neutral"" }","{ ""Tags"" : [""Plan Upgrade / Downgrade"", ""Account Management"", ""Billing & Payment""], ""Summary"" : ""Customer upgrades plan."" }",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Neutral'},Neutral,"{'Tags': ['Plan Upgrade / Downgrade', 'Account Management', 'Billing & Payment'], 'Summary': 'Customer upgrades plan.'}","['Plan Upgrade / Downgrade', 'Account Management', 'Billing & Payment']",Customer upgrades plan.,"{""first_response"":""Thank you for considering an upgrade. We understand this is related to Billing & Subscriptions. We're working on it and will get back to you within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
9,TF-2024-010,"The task due date filter is not working correctly. When I filter for tasks due this week, it shows tasks from last month as well. This makes it impossible to manage my workload effectively.","{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Task Management"", ""Performance & Speed"", ""Filtering""], ""Summary"" : ""Customer's task filter is not working.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Task Management', 'Performance & Speed', 'Filtering'], 'Summary': ""Customer's task filter is not working.""}","['Task Management', 'Performance & Speed', 'Filtering']",Customer's task filter is not working.,"{""first_response"": ""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we're treating it as urgent. We're working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
